"id","date_time","center_name","phone","address_1","address_2","region","city","capacity","on_map","okrug","big","oms","email","devices","shifts"
"1","0000-00-00 00:00:00","     Фесфарм-4     ","(499)1950227","г. Зеленоград, корп. 126","корп. 126, 1 эт., пом. V, комн. 1-6","Москва","Москва","(56.004832, 37.20648700000004):4","400","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"2","0000-00-00 00:00:00","Фесфарм-2","(499)7360434","Хорошёвское шоссе, д. 86 стр 6","д. 86 стр 6","Москва","Москва","(55.778871, 37.51813019999997):4","400","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"3","0000-00-00 00:00:00","  Фесфарм-1  ","(499)1483618","ул. Кременчугская, д. 6, корп. 3 ","д. 6, корп. 3 ","Москва","Москва","55.72362400000001, 37.4584909","400","cfo","Крупные амбулаторные центры – от 50 мест","","dffsf","",""
"4","0000-00-00 00:00:00","Фесфарм-3","(499)5037599","Физкультурный проезд, д. 6","д. 6","Москва","Москва","(55.751378, 37.50176290000002):4","300","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"5","0000-00-00 00:00:00","Фесфарм-5","(495)9334212","ул. Фруктовая, д. 12, корп. 4","д. 12, корп. 4 ","Москва","Москва","(55.660973, 37.61354989999995):4","350","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"6","0000-00-00 00:00:00","Фесфарм-6","(499)9480454","ул. Песчаный карьер, д. 3, стр. 1","д. 3, стр. 1 ","Москва","Москва","(55.662762, 37.71293300000002):4","350","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"7","0000-00-00 00:00:00","Фесфарм-7","(499)501–21–50","Троицк, Калужское шоссе, д. 17 ","д. 17 ","Москва","Москва","(55.518964, 37.37455620000003):11","80","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"8","0000-00-00 00:00:00","ДИАМЕДИКА","(4967)567016","1-й Проезд Перова Поля, дом. 9, строение 2","д. 9, строение 2","Москва","Москва","(55.750406, 37.77101600000003):4","400","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"9","0000-00-00 00:00:00","B.Braun","(495)5642074","Родионовская, д. 3 к1","д. 3 к1","Москва","Москва","(55.8927, 37.39807399999995):4","400","cfo","Крупные амбулаторные центры – от 50 мест","","","",""
"10","0000-00-00 00:00:00","Фрезениус","(495)5860144","ул. Кирова д. 28, стр 10","д. 28, стр 10","Московская область","Подольск","(55.4294117, 37.53698650000001):4","0","cfo","","","","",""
"11","0000-00-00 00:00:00","Фрезениус","(496)6155105","ул.Карбушева д. 4","д. 4","Московская область","Красногорск","(55.83767530000001, 37.30055679999998):8","0","cfo","","","","",""
"12","0000-00-00 00:00:00","Фрезениус","(496)4040987","ул. Коминтерна д.  24","д.  24","Московская область","Мытищи","(55.9228689, 37.777376499999946):8","0","cfo","","","","",""
"13","0000-00-00 00:00:00","Фрезениус","(495)5279510,5279501","ул. Октябрьской революции д. 318","д. 318","Московская область","Коломна","","0","cfo","","","","",""
"14","0000-00-00 00:00:00","Фрезениус","(495)5997237","ул. Рязанская д. 50","д. 50","Московская область","Егорьевск","(55.3792604, 39.047238300000004):8","0","cfo","","","","",""
"15","0000-00-00 00:00:00","Филиал №3 ФБУ ГВКГ им акад Бурденко МО РФ (отделение гемодиализа)","(495)5994402","ул. Адмирала Горшкова д. 4","д. 4","Московская область","Железнодорожный","(55.7475779, 38.116939):8","20","cfo","","","","",""
"16","0000-00-00 00:00:00","25 Центральный военный клинический госпиталь РВСН","(495)5973052","Маршала Бирюзова д. 1","д. 1","Московская область","Одинцово","(55.687784, 37.25947499999995):8","10","cfo","","","","",""
"17","0000-00-00 00:00:00","Одинцовская ЦРБ","(496)7547638","Маршала Бирюзова д. 3","д. 3","Московская область","Одинцово","(55.686452, 37.261108000000036):8","20","cfo","","","","",""
"18","0000-00-00 00:00:00","Клиническая больница № 123 ФМБА России","(495)5212056","ул. Красногорское ш. д. 15","д. 15","Московская область","Одинцово","(55.683456, 37.2695387):8","0","cfo","","","","",""
"19","0000-00-00 00:00:00","1586 Окружной военный клинический госпиталь МО РФ (отделение гемодиализа)","(496)2190400,(496)2154180","ул. Маштакова д. 4/47 ","д. 4/47","Московская область","Подольск","(55.428653, 37.52540099999999):8","0","cfo","","","","",""
"20","0000-00-00 00:00:00","МУ 'ЦРБ' Балашихинского района (лаборатория 'ЭМЛ и гемодиализа')","(498)4874038","ул. Энтузиастов ш. д. 41","д. 41","Московская область","Балашиха","(55.79736399999999, 37.96593000000007):8","0","cfo","","","","",""
